subject	screen_resolution	total_time	image_load	age	gender-categorical	gender-free-response	ethnicity	race	education	free-response
3z2z4oqvsyxn2lwrqjavmvfm	[1050, 1680]	342.306	True	19	Female		Not Hispanic or Latino	['White']	Some college	
3zv69q64jey2r4y0y0e575nl	[1440, 2560]	453.529	True	28	Male		Not Hispanic or Latino	['American Indian/Alaska Native', 'White']	Bachelor degree	
3zxobbu2jzlvm8lhki7czl8t	[720, 1280]	346.927	True	24	Female		Not Hispanic or Latino	['Black or African American']	Bachelor degree	
40hi9kdpcfp5rliuw8o8y019	[900, 1440]	373.531	True	20	Female		Not Hispanic or Latino	['Asian']	High school	
418nzhbnxocn7ai34f1fix1p	[864, 1536]	346.591	True	26	Female		Hispanic or Latino	['Rather not say']	Bachelor degree	
42ynztumhrbfa1venv81w82b	[900, 1440]	374.703	True	18	Female		Not Hispanic or Latino	['White']	High school	no comment
434xz66gizqjzt120uh0zcfu	[1050, 1680]	238.911	True	31	Male		Not Hispanic or Latino	['White']	Bachelor degree	
43u61vzj6kse1j0bpne1loj7	[800, 1280]	459.221	True	32	Male		Not Hispanic or Latino	['White']	Some college	
47rjc265202ngfb9rcn5q489	[900, 1440]	296.898	True	23	Female		Hispanic or Latino	['White']	Bachelor degree	I felt pressured so it made me confused a lot of the times. Still interesting to do. I thought I did better than my actual score!
48w9lk7ju78tnx98jix1c0zz	[1080, 1920]	469.595	True	27	Male		Not Hispanic or Latino	['White']	Bachelor degree	
494n14p8nmsroi0grjhd1tdz	[800, 1280]	436.114	True	28	Female		Not Hispanic or Latino	['Black or African American']	Bachelor degree	
4at78mnxnz63t5sbhkzcavcr	[1080, 1920]	270.104	True	28	Male		Hispanic or Latino	['White']	Bachelor degree	
4b743e4zckn4zsps1u2mkb1z	[1200, 2133]	404.019	True	62	Male		Hispanic or Latino	['White']	Associate degree	Images were good. 
4dmuir6ip4hx9eryfxcq2rrg	[1440, 2560]	348.684	True	30	Female		Not Hispanic or Latino	['Black or African American', 'White']	Some college	
4f3an3rrow7k3ie0j752t45k	[912, 1368]	467.17	True	24	Female		Hispanic or Latino	['White']	Associate degree	
4goyt3sxahkl7pa8u5tbol6m	[900, 1440]	384.176	True	20	Female		Not Hispanic or Latino	['White']	Some college	
4h5yju9ncyeiyah2g5oi6vgt	[900, 1440]	215.473	True	21	Female		Not Hispanic or Latino	['White']	Bachelor degree	
4i8fdqxxcxtx42msnwvy3e5p	[900, 1440]	366.747	True	30	Female		Unknown	['White']	Master degree or higher	
4kzwj52hfohn08sjrs0sstyh	[637, 1600]	1636.701	True	40	Male		Not Hispanic or Latino	['White']	Master degree or higher	excellent
4llm81kzex771qy3tq0xyyoh	[1120, 1792]	252.802	True	25	Female		Not Hispanic or Latino	['White']	Bachelor degree	
4mhzsuh7xfod2do73mss6ig2	[900, 1440]	228.07	True	21	Female		Not Hispanic or Latino	['White']	Some college	
4mmhqxjobp2lf2lpvhpdyhyn	[1120, 1792]	337.421	True	34	Male		Not Hispanic or Latino	['White']	Bachelor degree	
4qd0to88yn79ejfx21tcin9q	[900, 1440]	241.49	True	29	Female		Not Hispanic or Latino	['White']	Master degree or higher	
4t1nh1807h3mfgdowmmtw9yj	[864, 1536]	459.081	True	24	Female		Not Hispanic or Latino	['White']	Associate degree	Some of the lines were almost too faint to see 
4tf8b9hhmds1kuus2si7zdjs	[900, 1440]	222.954	True	27	Other	Non-Binary	Not Hispanic or Latino	['Asian']	Bachelor degree	
4ue4fvgeuiuz4nx9mrpv4vw0	[864, 1536]	632.385	True	38	Male		Not Hispanic or Latino	['White']	Master degree or higher	it is an nice study.
4vc87wgxp85pxsvqr20zy7lp	[1456, 981]	384.659	True	40	Male		Not Hispanic or Latino	['Black or African American']	Bachelor degree	
4x3vcbfp20gszqk2fx98l2m8	[720, 1280]	462.402	True	22	Male		Not Hispanic or Latino	['White']	Bachelor degree	n/a
4x8npnnnoum0fyb0ghc2foco	[1080, 1920]	270.008	True	40	Male		Not Hispanic or Latino	['White']	Associate degree	This was very difficult, but particularly because I knew I was on a timer. Were there really patterns to be discerned there? Otherwise, the images looked fine; they were a good size and easy to see, and I encountered no technical issues. 
4xr6ujq576ixsqqo94j9t25m	[800, 1280]	415.349	True	20	Male		Not Hispanic or Latino	['Black or African American']	Some college	
519zbyjdj3cdg883oowodetg	[960, 1708]	149.133	True	45	Male		Not Hispanic or Latino	['White']	Master degree or higher	
51brojcur0ahwcou0zeiofr4	[900, 1440]	273.544	True	22	Female		Not Hispanic or Latino	['White']	Bachelor degree	Thank you!
525crgtd5xx14lsyudfeth8r	[1120, 1792]	283.619	True	23	Female		Not Hispanic or Latino	['White']	Bachelor degree	
53fgvbrtzes5w5y7p0apwaor	[900, 1440]	479.06	True	19	Male		Not Hispanic or Latino	['White']	Some college	
53kley6m7tvg1vs7yqarzn2a	[1080, 1920]	363.186	True	25	Male		Hispanic or Latino	['White']	Some college	
540dgm34rw43bypbmshm0p7r	[768, 1366]	629.57	True	35	Male		Not Hispanic or Latino	['White']	Master degree or higher	I am very much enjoying this survey.
54e9zu0s1k514rl628xitu6a	[683, 1708]	958.753	True	43	Male		Not Hispanic or Latino	['White']	Master degree or higher	
54ijj4k762op0pdsv00s9wkk	[768, 1366]	457.23	True	19	Male		Not Hispanic or Latino	['White']	Some college	
56rfelahgx44yaqkd2iu7s0n	[900, 1440]	367.293	True	23	Female		Not Hispanic or Latino	['White']	Bachelor degree	
59ngy801iiqpmbpdnlmfjeei	[900, 1440]	263.334	True	18	Female		Not Hispanic or Latino	['White']	High school	N/A
59xqa1ahxzai8xf2maadqjg7	[1120, 1792]	436.507	True	19	Male		Not Hispanic or Latino	['White']	High school	
5auttckec7uz1re3whedxq2i	[1673, 980]	310.726	True		Male		Not Hispanic or Latino	['White']	Bachelor degree	No comment
5b6q4ofmq1sgea0wr5whqyqp	[1080, 1920]	379.195	True	19	Male		Not Hispanic or Latino	['Asian']	High school	
5baqefewz5asokt01f7dkh76	[1080, 1920]	288.743	True	25	Male		Not Hispanic or Latino	['White']	Bachelor degree	
5c1uahjwqokuaplxirx16r1p	[900, 1440]	281.978	True	27	Male		Not Hispanic or Latino	['White']	Bachelor degree	
5cjs7it3st299r3vpz67xhf6	[1080, 1920]	483.748	True	31	Male		Not Hispanic or Latino	['Asian', 'White']	Some college	images too small, i prefer to see the timer for entire duration rather than last 5 secs
5crlydz5xjnujl7cw511iew5	[1050, 1680]	318.894	True	23	Female		Not Hispanic or Latino	['White']	Bachelor degree	
5cxi15n0lqa8ytgxm9gjs7su	[1080, 1920]	366.315	True	20	Male		Not Hispanic or Latino	['White']	Some college	
5ehtx6x7bitq1r848c0w0ayy	[768, 1366]	207.653	True	35	Male		Not Hispanic or Latino	['Black or African American']	Master degree or higher	no comment
5g41xp889l6rn0ju6xu3b53m	[900, 1440]	229.171	True	18	Female		Not Hispanic or Latino	['White']	High school	
5gqhnskh289f11rtfzn6dnwz	[912, 1368]	428.567	True	22	Male		Not Hispanic or Latino	['White']	Bachelor degree	
5ir086sfoheqf795s81pdtug	[820, 1180]	373.256	True	18	Female		Not Hispanic or Latino	['Asian']	High school	This was hard. 
5jy2qnd6t58agficsjd2vths	[1152, 2049]	308.839	True	40	Female		Not Hispanic or Latino	['Black or African American']	Master degree or higher	None
5k71sxu2hhh7kqjrwx7mhu9a	[637, 1600]	727.564	True	39	Male		Not Hispanic or Latino	['White']	Master degree or higher	nice
5la01jwgjd5r0smzsld92t1m	[912, 1368]	339.355	True	19	Female		Not Hispanic or Latino	['White']	Some college	
5lt4kxsgkue0dlm86mcmln48	[800, 1280]	461.078	True	25	Male		Not Hispanic or Latino	['Black or African American']	Bachelor degree	
5m8lau3ky2gtgpbmnr8kuv4g	[864, 1536]	466.844	True	31	Female		Not Hispanic or Latino	['White']	Some college	
5m92mo123e9gh0jbia35or3b	[900, 1440]	279.162	True	19	Female		Not Hispanic or Latino	['White']	Some college	
5mxingj5h4c4hwx23octnkyf	[900, 1440]	393.364	True	26	Female		Hispanic or Latino	['White']	Master degree or higher	
5nbu6wm0asr5wgoe8y4yoz5b	[768, 1366]	359.059	True	19	Female		Hispanic or Latino	['White']	High school	
5q38vzp6y3weqrrqy3y0y9wr	[717, 1208]	178.707	True	30	Male		Rather not say	['White']	Bachelor degree	
5r5lpge5r06l18wm68y63pj3	[900, 1440]	376.479	True	21	Male		Not Hispanic or Latino	['White']	Some college	no comment
5rx4okg7d5vk026dtzkaxc0m	[1914, 980]	618.214	True	19	Female		Not Hispanic or Latino	['White']	Associate degree	
5vlh6xat2i27a5ycsir6rt8p	[900, 1440]	315.237	True	18	Female		Not Hispanic or Latino	['White']	High school	
5w8iljymylasl128wlos7fim	[900, 1440]	312.519	True	22	Female		Not Hispanic or Latino	['White']	Bachelor degree	
5wcr8seke70pq356y0jukd9g	[768, 1366]	532.61	True	40	Male		Not Hispanic or Latino	['White']	Master degree or higher	time not enough
5wwh67gpm4yi02txm96t0d2t	[1440, 2560]	261.106	True	25	Male		Not Hispanic or Latino	['Asian', 'White']	Bachelor degree	
5x53d4nlu4uiap1y2at2omqh	[900, 1440]	292.615	True	23	Female		Not Hispanic or Latino	['White']	Associate degree	
5zu4b6e0evo08jnba7fr1x1b	[1120, 1792]	473.322	True	29	Female		Not Hispanic or Latino	['White']	Bachelor degree	
600h90dv4z92iv06ocn127ze	[864, 1536]	400.804	True	18	Female		Not Hispanic or Latino	['White']	High school	
601xvat5pmnwokpkryv54mhy	[1080, 1920]	454.119	True	35	Female		Hispanic or Latino	['White']	Associate degree	Needed more time for some
