subject,age,gender,block,trial,testform,item,dimension,distractor,puzzle,accuracy,rt
686995,26,Female,2,6,2,15,3,minimal,15_double__0000110211121011_shape_set_17_T.jpeg,0,6.93
686995,26,Female,2,7,2,76,5,minimal,76_flower_single__12211102120110101011_shape_set_20_T.jpeg,1,0.644
686995,26,Female,2,8,2,77,3,paired,77_grid_double__00000100000011111011010001000000_shape_set_4_T.jpeg,1,0.667
686995,26,Female,2,9,2,38,1,paired,38_clockwork3_single__010011110000_shape_set_4_T.jpeg,0,0.499
686995,26,Female,2,10,2,60,4,paired,60_triple__111212220100010000001122_shape_set_17_T.jpeg,0,0.736
686995,26,Female,2,11,2,62,3,minimal,62_grid_triple__010000000000020000000100000012210000020000000100_shape_set_4_T.jpeg,1,0.764
686995,26,Female,2,12,2,35,8,minimal,35_grid_triple__122112021120000000001010010001001022110101000100_shape_set_4_T.jpeg,0,0.455
686995,26,Female,2,13,2,36,6,paired,36_triple__111212011010112010220100_shape_set_17_T.jpeg,0,0.556
686995,26,Female,2,14,2,6,2,paired,6_single__121210101222_shape_set_17_T.jpeg,1,6.3420000000000005
686995,26,Female,2,15,2,7,1,minimal,7_flower_single__01000200020012200200_shape_set_20_T.jpeg,1,4.773
686995,26,Female,2,16,2,48,1,paired,48_flower_double__0100121102000000020002000100010000000000_shape_set_17_T.jpeg,0,0.845
686995,26,Female,2,17,2,9,1,paired,9_flower_single__10020000020001000200_shape_set_17_T.jpeg,0,3.999
686995,26,Female,2,18,2,14,5,paired,14_triple__112110100000000010021222_shape_set_4_T.jpeg,0,5.572
686995,26,Female,2,19,2,29,7,minimal,29_grid_double__10121011111012010000102012020000_shape_set_4_T.jpeg,0,0.801
686995,26,Female,2,20,2,61,2,paired,61_flower_double__1211010002000100020001001121010001000200_shape_set_20_T.jpeg,0,0.538
686995,26,Female,2,21,2,34,3,paired,34_flower_single__11210200122211220100_shape_set_20_T.jpeg,0,0.5740000000000001
686995,26,Female,2,22,2,20,2,paired,20_double__1221010010220000_shape_set_4_T.jpeg,0,2.499
686995,26,Female,2,23,2,22,2,minimal,22_single__112212211220_shape_set_20_T.jpeg,0,1.633
686995,26,Female,2,24,2,10,3,paired,10_triple__000012221120010002000000_shape_set_20_T.jpeg,0,8.693
686995,26,Female,2,25,2,12,4,minimal,12_double__1212102211111221_shape_set_17_T.jpeg,0,6.744
686995,26,Female,2,26,2,18,3,paired,18_flower_double__1022102200000100010000000200122101000000_shape_set_17_T.jpeg,1,2.312
686995,26,Female,2,27,2,19,2,minimal,19_single__101112201212_shape_set_20_T.jpeg,0,5.924
686995,26,Female,2,28,2,74,5,minimal,74_triple__100101001211112010120200_shape_set_4_T.jpeg,0,0.861
686995,26,Female,2,29,2,75,6,minimal,75_flower_double__0200110201001112100101000200101012201111_shape_set_17_T.jpeg,0,0.858
686995,26,Female,2,30,2,73,4,minimal,73_grid_double__01000200111202000000122201001012_shape_set_20_T.jpeg,0,0.722
686995,26,Female,2,31,2,78,7,minimal,78_triple__111212101211100210011020_shape_set_17_T.jpeg,0,0.56
686995,26,Female,2,32,2,39,2,minimal,39_flower_double__0100010001000000122001000000010012120200_shape_set_17_T.jpeg,0,0.735
686995,26,Female,2,33,2,28,2,minimal,28_flower_double__0000122201000100000011220000020001000100_shape_set_20_T.jpeg,0,0.901
686995,26,Female,2,34,2,27,3,paired,27_double__1020020012121122_shape_set_17_T.jpeg,0,2.832
686995,26,Female,2,35,2,16,4,minimal,16_grid_single__1012121112021101_shape_set_20_T.jpeg,0,4.906
686995,26,Female,2,36,2,58,3,paired,58_clockwork3_single__102211221112_shape_set_20_T.jpeg,0,0.6920000000000001
686995,26,Female,2,37,2,5,1,minimal,5_grid_single__0000000010200000_shape_set_4_T.jpeg,1,3.299
686995,26,Female,2,38,2,2,1,minimal,2_double__0000020001001020_shape_set_4_T.jpeg,1,4.874
686995,26,Female,2,39,2,3,1,paired,3_clockwork3_single__000011010200_shape_set_17_T.jpeg,1,2.0460000000000003
