name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
alpha[34]	0.92	0.0045	0.18	0.62	0.92	1.2	1632.0	1.8	1.0
alpha[35]	1.0	0.0042	0.22	0.72	1.0	1.4	2887.0	3.2	1.0
alpha[36]	0.83	0.007	0.22	0.47	0.82	1.2	990.0	1.1	1.0
alpha[37]	1.0	0.0045	0.24	0.7	0.99	1.4	2676.0	3.0	1.0
alpha[38]	1.3	0.011	0.4	0.84	1.2	2.1	1438.0	1.6	1.0
alpha[39]	1.0	0.0046	0.21	0.69	0.99	1.4	2186.0	2.5	1.0
alpha[40]	1.0	0.0042	0.22	0.72	1.0	1.4	2909.0	3.3	1.0
gamma[1]	0.93	0.0034	0.1	0.8	0.95	0.99	942.0	1.1	1.0
gamma[2]	0.85	0.0082	0.2	0.39	0.92	0.98	606.0	0.68	1.0
gamma[3]	0.8	0.0093	0.23	0.086	0.88	0.96	612.0	0.69	1.0
gamma[4]	0.98	0.0021	0.079	0.93	1.0	1.0	1438.0	1.6	1.0
gamma[5]	0.94	0.0038	0.11	0.84	0.97	1.0	863.0	0.97	1.0
gamma[6]	0.22	0.0064	0.19	1.1e-10	0.2	0.53	852.0	0.96	1.0
gamma[7]	0.85	0.0091	0.2	0.34	0.91	0.98	502.0	0.56	1.0
gamma[8]	0.16	0.0057	0.21	5e-16	0.034	0.6	1398.0	1.6	1.0
gamma[9]	0.81	0.0077	0.18	0.5	0.86	0.95	529.0	0.59	1.0
gamma[10]	0.041	0.0014	0.071	2.4e-14	0.0038	0.21	2518.0	2.8	1.0
gamma[11]	0.12	0.0044	0.13	3.5e-12	0.078	0.37	884.0	0.99	1.0
gamma[12]	0.018	0.00082	0.039	3e-16	0.00067	0.1	2219.0	2.5	1.0
gamma[13]	0.023	0.00083	0.045	4.5e-15	0.0013	0.12	2888.0	3.2	1.0
gamma[14]	0.032	0.0014	0.058	3e-15	0.002	0.17	1715.0	1.9	1.0
gamma[15]	0.03	0.0011	0.061	2.8e-14	0.0015	0.17	2994.0	3.4	1.0
gamma[16]	0.6	0.0082	0.21	0.025	0.66	0.81	643.0	0.72	1.0
gamma[17]	0.076	0.003	0.11	6.7e-13	0.015	0.31	1282.0	1.4	1.0
gamma[18]	0.035	0.0018	0.062	9e-16	0.0026	0.18	1224.0	1.4	1.0
gamma[19]	0.12	0.0034	0.14	1.4e-12	0.045	0.41	1780.0	2.0	1.0
gamma[20]	0.06	0.0021	0.099	3.4e-14	0.0067	0.29	2251.0	2.5	1.0
gamma[21]	0.081	0.0038	0.11	1.4e-13	0.018	0.31	794.0	0.89	1.0
gamma[22]	0.15	0.0051	0.19	1.5e-15	0.039	0.56	1443.0	1.6	1.0
gamma[23]	0.062	0.0023	0.1	1.1e-13	0.0056	0.31	2038.0	2.3	1.0
gamma[24]	0.016	0.00065	0.032	4e-16	0.00098	0.085	2337.0	2.6	1.0
gamma[25]	0.39	0.0098	0.28	5.3e-11	0.45	0.76	794.0	0.89	1.0
gamma[26]	0.011	0.00044	0.024	0.0	0.0004	0.063	3067.0	3.4	1.0
gamma[27]	0.044	0.0017	0.08	1.3e-13	0.0031	0.23	2262.0	2.5	1.0
gamma[28]	0.071	0.0027	0.12	3e-14	0.007	0.33	1825.0	2.0	1.0
gamma[29]	0.038	0.0015	0.074	3.3e-14	0.0025	0.21	2604.0	2.9	1.0
gamma[30]	0.19	0.0061	0.22	1.9e-15	0.063	0.62	1347.0	1.5	1.0
gamma[31]	0.023	0.00083	0.049	7.9e-15	0.0013	0.12	3494.0	3.9	1.0
gamma[32]	0.045	0.0018	0.084	1.1e-14	0.0031	0.24	2301.0	2.6	1.0
gamma[33]	0.052	0.0019	0.093	9.7e-15	0.004	0.26	2319.0	2.6	1.0
gamma[34]	0.021	0.00095	0.044	2.8e-15	0.001	0.12	2190.0	2.5	1.0
gamma[35]	0.03	0.001	0.057	5.6e-14	0.0023	0.16	3111.0	3.5	1.0
gamma[36]	0.089	0.0037	0.11	1e-13	0.027	0.32	912.0	1.0	1.0
gamma[37]	0.033	0.0012	0.064	3.6e-14	0.0021	0.18	2889.0	3.2	1.0
gamma[38]	0.2	0.0089	0.26	0.0	0.033	0.71	837.0	0.94	1.0
gamma[39]	0.063	0.002	0.1	3.3e-14	0.0073	0.3	2551.0	2.9	1.0
gamma[40]	0.03	0.0011	0.061	1e-14	0.0016	0.16	2895.0	3.2	1.0
