name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[77]	-2.0	0.0059	0.33	-2.5	-2.0	-1.5	3117.0	23.0	1.0
theta[78]	0.44	0.0056	0.51	-0.39	0.43	1.3	8391.0	63.0	1.0
theta[79]	0.63	0.0058	0.47	-0.11	0.61	1.4	6615.0	49.0	1.0
theta[80]	0.48	0.0048	0.4	-0.16	0.46	1.2	7151.0	53.0	1.0
theta[81]	-0.18	0.0049	0.43	-0.87	-0.19	0.54	7893.0	59.0	1.0
theta[82]	-0.91	0.0046	0.33	-1.5	-0.91	-0.37	5171.0	39.0	1.0
theta[83]	0.58	0.0054	0.48	-0.18	0.56	1.4	7842.0	59.0	1.0
theta[84]	-1.1	0.0047	0.29	-1.6	-1.1	-0.65	3924.0	29.0	1.0
theta[85]	-1.6	0.0054	0.32	-2.1	-1.6	-1.1	3574.0	27.0	1.0
theta[86]	-1.5	0.0054	0.31	-2.0	-1.5	-1.0	3232.0	24.0	1.0
theta[87]	0.37	0.0058	0.48	-0.4	0.36	1.2	6924.0	52.0	1.0
theta[88]	0.23	0.0047	0.41	-0.44	0.22	0.92	7736.0	58.0	1.0
theta[89]	-0.4	0.0047	0.41	-1.1	-0.41	0.28	7481.0	56.0	1.0
theta[90]	1.4	0.0058	0.52	0.56	1.4	2.3	8064.0	60.0	1.0
theta[91]	1.4	0.0061	0.51	0.56	1.3	2.2	6954.0	52.0	1.0
theta[92]	0.2	0.0057	0.45	-0.52	0.19	0.97	6215.0	46.0	1.0
theta[93]	-0.84	0.0045	0.29	-1.3	-0.84	-0.36	4166.0	31.0	1.0
theta[94]	0.97	0.0054	0.43	0.29	0.95	1.7	6534.0	49.0	1.0
theta[95]	-0.98	0.005	0.38	-1.6	-0.98	-0.37	5936.0	44.0	1.0
theta[96]	-0.023	0.0054	0.45	-0.74	-0.023	0.72	7198.0	54.0	1.0
theta[97]	0.66	0.0053	0.45	-0.059	0.66	1.4	7267.0	54.0	1.0
theta[98]	0.35	0.0051	0.41	-0.31	0.34	1.0	6400.0	48.0	1.0
theta[99]	0.76	0.0062	0.53	-0.064	0.74	1.6	7198.0	54.0	1.0
theta[100]	-0.33	0.0053	0.47	-1.1	-0.33	0.45	7643.0	57.0	1.0
xi_mu[1]	-0.59	0.0062	0.19	-0.91	-0.59	-0.28	980.0	7.3	1.0
xi_mu[2]	-0.12	0.0028	0.1	-0.29	-0.12	0.056	1340.0	10.0	1.0
xi_pr[1,1]	-2.1	0.0071	0.41	-2.9	-2.1	-1.5	3433.0	26.0	1.0
xi_pr[1,2]	-1.9	0.0069	0.39	-2.6	-1.9	-1.3	3293.0	25.0	1.0
xi_pr[1,3]	-1.8	0.006	0.38	-2.5	-1.8	-1.2	3948.0	30.0	1.0
xi_pr[1,4]	-2.5	0.0079	0.51	-3.4	-2.5	-1.7	4278.0	32.0	1.0
xi_pr[1,5]	-2.2	0.0081	0.45	-3.0	-2.2	-1.5	3141.0	23.0	1.0
xi_pr[1,6]	-0.23	0.0055	0.28	-0.69	-0.22	0.21	2611.0	20.0	1.0
xi_pr[1,7]	-1.9	0.0069	0.39	-2.6	-1.9	-1.3	3198.0	24.0	1.0
xi_pr[1,8]	-0.87	0.0056	0.27	-1.3	-0.86	-0.44	2362.0	18.0	1.0
xi_pr[1,9]	-1.7	0.0066	0.37	-2.4	-1.7	-1.2	3047.0	23.0	1.0
xi_pr[1,10]	0.29	0.0053	0.25	-0.11	0.29	0.69	2147.0	16.0	1.0
xi_pr[1,11]	0.4	0.0057	0.29	-0.056	0.39	0.88	2528.0	19.0	1.0
xi_pr[1,12]	1.1	0.0065	0.31	0.63	1.1	1.7	2299.0	17.0	1.0
xi_pr[1,13]	0.76	0.0059	0.27	0.34	0.74	1.2	2057.0	15.0	1.0
xi_pr[1,14]	1.1	0.0064	0.31	0.58	1.0	1.6	2378.0	18.0	1.0
xi_pr[1,15]	0.46	0.0054	0.25	0.066	0.45	0.87	2089.0	16.0	1.0
xi_pr[1,16]	-1.1	0.0063	0.34	-1.7	-1.1	-0.63	2901.0	22.0	1.0
xi_pr[1,17]	0.35	0.0058	0.28	-0.085	0.34	0.82	2338.0	17.0	1.0
xi_pr[1,18]	1.3	0.007	0.37	0.75	1.2	1.9	2703.0	20.0	1.0
xi_pr[1,19]	-0.11	0.0053	0.26	-0.52	-0.097	0.3	2309.0	17.0	1.0
xi_pr[1,20]	-0.21	0.0053	0.25	-0.63	-0.2	0.19	2236.0	17.0	1.0
xi_pr[1,21]	0.83	0.0062	0.32	0.34	0.81	1.4	2677.0	20.0	1.0
xi_pr[1,22]	-0.75	0.0051	0.27	-1.2	-0.74	-0.34	2713.0	20.0	1.0
xi_pr[1,23]	-0.14	0.0053	0.25	-0.56	-0.13	0.26	2218.0	17.0	1.0
xi_pr[1,24]	1.1	0.0067	0.29	0.69	1.1	1.7	1891.0	14.0	1.0
xi_pr[1,25]	-1.0	0.0054	0.3	-1.5	-1.0	-0.56	3036.0	23.0	1.0
xi_pr[1,26]	1.2	0.0066	0.3	0.71	1.1	1.7	2083.0	16.0	1.0
xi_pr[1,27]	0.15	0.0055	0.27	-0.28	0.15	0.59	2305.0	17.0	1.0
xi_pr[1,28]	-0.37	0.005	0.24	-0.77	-0.35	0.012	2343.0	18.0	1.0
xi_pr[1,29]	0.0026	0.005	0.23	-0.36	0.0043	0.38	2057.0	15.0	1.0
xi_pr[1,30]	-0.82	0.0055	0.28	-1.3	-0.81	-0.4	2576.0	19.0	1.0
xi_pr[1,31]	0.18	0.0052	0.23	-0.2	0.18	0.57	2002.0	15.0	1.0
xi_pr[1,32]	-0.27	0.0051	0.24	-0.67	-0.26	0.097	2147.0	16.0	1.0
xi_pr[1,33]	-0.14	0.0052	0.27	-0.59	-0.14	0.29	2654.0	20.0	1.0
xi_pr[1,34]	0.89	0.0063	0.32	0.41	0.87	1.5	2674.0	20.0	1.0
xi_pr[1,35]	0.42	0.0056	0.28	-0.0028	0.41	0.89	2432.0	18.0	1.0
xi_pr[1,36]	0.95	0.0076	0.41	0.35	0.91	1.7	2862.0	21.0	1.0
xi_pr[1,37]	0.33	0.006	0.29	-0.12	0.32	0.82	2339.0	17.0	1.0
xi_pr[1,38]	-1.1	0.006	0.31	-1.7	-1.1	-0.66	2720.0	20.0	1.0
xi_pr[1,39]	-0.088	0.0052	0.29	-0.55	-0.09	0.4	3044.0	23.0	1.0
xi_pr[1,40]	0.22	0.0052	0.29	-0.24	0.21	0.71	3231.0	24.0	1.0
xi_pr[1,41]	-1.1	0.0058	0.32	-1.7	-1.1	-0.65	3017.0	23.0	1.0
xi_pr[1,42]	0.72	0.0063	0.37	0.18	0.69	1.4	3450.0	26.0	1.0
