subject	trial	dimension	stimulus	accuracy	Y_hat	Y_pred	WAIC
6m37f5y8vcdo1b9utotly0oi	6	4	23	0.0	0.566	0.4418314627188458	-1.0899067756029808
6m37f5y8vcdo1b9utotly0oi	7	5	14	0.0	0.30475	0.7040849766426304	-0.3564497953516313
6m37f5y8vcdo1b9utotly0oi	8	5	26	0.0	0.36275	0.6406525417915064	-0.4657597298387236
6paqscjsfw9kpdn1lzg32po9	1	2	1	1.0	0.98025	0.9827188193908394	-0.018754674698686774
6paqscjsfw9kpdn1lzg32po9	2	2	6	1.0	0.74425	0.7464125651141649	-0.32338867602424
6paqscjsfw9kpdn1lzg32po9	3	3	15	1.0	0.5295	0.5283059073441161	-0.7022775950312672
6paqscjsfw9kpdn1lzg32po9	4	3	10	0.0	0.61125	0.39588962518335	-1.1941174387090308
6paqscjsfw9kpdn1lzg32po9	5	4	16	1.0	0.89725	0.8961419747965051	-0.14020942714524504
6paqscjsfw9kpdn1lzg32po9	6	4	17	1.0	0.56175	0.552460295629345	-0.6506439821938725
6paqscjsfw9kpdn1lzg32po9	7	5	52	0.0	0.39175	0.6103021629854349	-0.5274511027780164
6paqscjsfw9kpdn1lzg32po9	8	5	59	0.0	0.2995	0.6973586126745078	-0.37179111267404885
6yenwqo50hemozitvo738ila	1	2	1	1.0	0.95725	0.9562276451449239	-0.05454056506196027
6yenwqo50hemozitvo738ila	2	2	6	0.0	0.65775	0.3513797617015426	-1.223362043905619
6yenwqo50hemozitvo738ila	3	3	15	0.0	0.44825	0.56031158360046	-0.6293586293860055
6yenwqo50hemozitvo738ila	4	3	10	1.0	0.50975	0.5054901963038114	-0.7742312475323476
6yenwqo50hemozitvo738ila	5	4	16	1.0	0.80275	0.8056027430700602	-0.2883182233283158
6yenwqo50hemozitvo738ila	6	4	17	0.0	0.4605	0.5344997437569661	-0.681029884726187
6yenwqo50hemozitvo738ila	7	5	52	0.0	0.347	0.660635357206707	-0.4298302253284193
6yenwqo50hemozitvo738ila	8	5	59	0.0	0.28025	0.7215586868194688	-0.32947628010290625
71e80tf73in7sys4sre6ajc3	1	2	1	1.0	0.99475	0.9927963635520908	-0.007669704652659088
71e80tf73in7sys4sre6ajc3	2	2	6	1.0	0.8265	0.833699201102992	-0.2004033599599147
71e80tf73in7sys4sre6ajc3	3	3	15	1.0	0.639	0.6460658558480222	-0.49547019747496635
71e80tf73in7sys4sre6ajc3	4	3	10	1.0	0.75625	0.7536654899289629	-0.33656651619514516
71e80tf73in7sys4sre6ajc3	5	4	16	1.0	0.9605	0.9569083161374313	-0.05299609197056269
71e80tf73in7sys4sre6ajc3	6	4	17	1.0	0.6625	0.665423214381224	-0.4568489184199651
71e80tf73in7sys4sre6ajc3	7	5	14	1.0	0.56125	0.5556066694783336	-0.6899892960161246
71e80tf73in7sys4sre6ajc3	8	5	26	0.0	0.67375	0.3284132467520652	-1.464790605252719
7c517gtaonz1mxh2s0meyyps	1	2	1	1.0	0.952	0.9507533282156854	-0.06452270144976092
7c517gtaonz1mxh2s0meyyps	2	2	6	0.0	0.64375	0.36402920450200776	-1.1899163717940984
7c517gtaonz1mxh2s0meyyps	3	3	11	1.0	0.49775	0.4894669974234579	-0.812286741735463
7c517gtaonz1mxh2s0meyyps	4	3	18	0.0	0.55625	0.4411235799743773	-0.937133265614529
7c517gtaonz1mxh2s0meyyps	5	4	16	1.0	0.79425	0.7888223553404003	-0.3218699408982927
7c517gtaonz1mxh2s0meyyps	6	4	17	0.0	0.46925	0.5433674409083076	-0.6637091055089848
