sub,age,gender,block,testform,Puzzle,distractor,Accuracy,RT
686999,24,Female,1,3,35_grid_triple__122112021120000000001010010001001022110101000100_shape_set_20_T.jpeg,paired,0,13941
686999,24,Female,1,3,9_flower_single__10020000020001000200_shape_set_4_T.jpeg,paired,1,4680
686999,24,Female,1,3,19_single__101112201212_shape_set_17_T.jpeg,paired,0,5587
686999,24,Female,1,3,31_flower_double__0200010011120100020012110000000002001102_shape_set_17_T.jpeg,minimal,1,7489
686999,24,Female,1,3,30_grid_double__10211001101112200100121012020000_shape_set_4_T.jpeg,minimal,1,22927
686999,24,Female,1,3,10_triple__000012221120010002000000_shape_set_17_T.jpeg,paired,0,6130
686999,24,Female,1,3,11_grid_single__1220111101001121_shape_set_20_T.jpeg,minimal,0,11810
686999,24,Female,1,3,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_20_T.jpeg,paired,0,14031
686999,24,Female,1,3,18_flower_double__1022102200000100010000000200122101000000_shape_set_4_T.jpeg,paired,0,27321
686999,24,Female,1,3,29_grid_double__10121011111012010000102012020000_shape_set_20_T.jpeg,paired,0,9744
686999,24,Female,1,3,7_flower_single__01000200020012200200_shape_set_17_T.jpeg,minimal,1,5651
686999,24,Female,1,3,22_single__112212211220_shape_set_17_T.jpeg,paired,1,8724
686999,24,Female,1,3,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_4_T.jpeg,minimal,0,18356
