k1,k2,obs,pred,pval
31,21,0.005327,0.017255,0.1445
31,22,0.007304,0.012031,0.1179
31,23,0.006815,0.012357,0.1214
31,25,0.017045,0.013788,0.0877
31,26,0.035308,0.008812,0.0151
31,27,-0.002392,0.012457,0.1507
31,28,-0.051495,0.013052,0.1999
31,29,0.010194,0.01496,0.1163
31,30,0.011517,0.012461,0.1035
32,0,0.029428,0.009748,0.0301
32,1,-0.025354,0.010083,0.1928
32,2,0.008668,0.009829,0.1043
32,3,-0.023281,0.012259,0.1887
32,4,0.055879,0.011968,0.0044
32,5,0.010941,0.011347,0.1011
32,6,-0.003967,0.012675,0.155
32,7,0.018524,0.009831,0.0671
32,8,0.016682,0.01235,0.0851
32,9,0.013253,0.010984,0.0918
32,10,-0.004606,0.011327,0.1552
32,11,0.008559,0.010587,0.1085
32,12,0.027189,0.015512,0.0631
32,13,-0.012088,0.010082,0.1738
32,14,0.025181,0.010232,0.0439
32,15,-0.002519,0.013369,0.1565
32,16,-0.012752,0.008574,0.1754
32,17,0.06757,0.009948,0.0012
32,18,0.013353,0.01206,0.097
32,19,0.007987,0.009048,0.1056
32,20,0.007739,0.014667,0.1226
32,21,0.047603,0.012592,0.008
32,22,-0.017154,0.010234,0.1813
32,23,0.014137,0.010664,0.0861
32,24,0.017346,0.014241,0.0886
32,26,0.00422,0.008999,0.1156
32,27,0.012934,0.010729,0.092
32,28,0.021343,0.011145,0.0634
32,29,0.000289,0.012616,0.144
32,31,0.028482,0.012243,0.0445
33,0,-0.012731,0.008969,0.1761
33,1,0.02892,0.008679,0.0296
33,2,0.042353,0.010305,0.0122
33,3,0.004073,0.010131,0.1224
33,4,0.013955,0.010754,0.0888
33,5,0.027033,0.008346,0.0354
33,6,0.003126,0.010523,0.1282
33,7,-0.000889,0.007978,0.1365
33,8,-0.002279,0.010708,0.1438
33,9,0.023756,0.009641,0.0503
33,10,0.008486,0.010004,0.1046
33,11,0.032685,0.008822,0.0195
33,12,0.002696,0.012662,0.1339
33,13,-0.010066,0.008771,0.165
33,14,-0.02102,0.009342,0.1856
33,15,0.004234,0.011677,0.1269
33,17,-0.002609,0.008264,0.1334
33,18,0.022598,0.010785,0.0579
33,20,0.016419,0.012705,0.0863
33,21,0.039968,0.012511,0.0192
33,22,-0.005324,0.008695,0.151
33,23,0.03022,0.009846,0.0327
33,24,-0.0039,0.012761,0.1531
33,25,-0.01322,0.011218,0.1764
33,26,0.055224,0.007987,0.0033
33,28,0.009768,0.009724,0.1003
33,29,0.023527,0.011214,0.0579
33,30,0.020221,0.010878,0.0692
33,31,-0.007758,0.011801,0.1705
33,32,0.01494,0.009632,0.0799
34,0,-0.002859,0.009834,0.1422
34,1,0.041463,0.008948,0.014
34,2,0.00051,0.007486,0.1292
34,3,-0.011632,0.005088,0.1701
34,4,-0.003782,0.007056,0.1488
34,5,0.001149,0.004684,0.1227
34,6,-0.005944,0.008924,0.1511
34,7,-0.013663,0.011306,0.1696
34,8,0.006653,0.007527,0.1081
34,9,0.038172,0.00708,0.01
34,10,0.045423,0.010281,0.0099
34,11,0.026864,0.011298,0.0497
34,12,-0.036415,0.006696,0.1988
34,13,-0.003798,0.009719,0.1399
34,14,-0.009133,0.009471,0.1627
34,15,0.021767,0.005894,0.0328
34,16,0.016554,0.010087,0.0789
34,17,-7.4e-05,0.003678,0.1272
34,18,-0.025833,0.007687,0.1934
34,19,0.030708,0.00712,0.0252
34,20,0.02102,0.009253,0.0547
34,21,-0.016199,0.011089,0.1805
34,22,0.016876,0.007236,0.0659
34,23,0.014551,0.006024,0.0654
34,24,-0.011944,0.00708,0.1702
34,25,-0.029407,0.006612,0.1959
34,26,-0.034076,0.00444,0.196
34,27,-0.019901,0.005834,0.1815
34,28,0.029205,0.007661,0.025
34,29,-0.019429,0.007575,0.1856
34,30,0.009607,0.004941,0.082
34,31,-0.032193,0.009345,0.1972
34,32,0.008891,0.006251,0.0901
34,33,0.02117,0.006298,0.0433
35,0,-0.039895,0.011442,0.1981
35,1,0.008798,0.011591,0.1128
35,2,0.034426,0.01083,0.0224
35,3,-0.014337,0.00811,0.1762
35,4,0.006103,0.011496,0.1199
35,5,0.026817,0.007761,0.03
35,6,-0.006896,0.013908,0.1647
35,7,0.001249,0.011462,0.1354
35,8,-0.007797,0.011415,0.1673
35,9,-0.01112,0.011323,0.1735
35,10,0.011074,0.012595,0.1051
35,11,0.019038,0.012866,0.0758
35,12,-0.026068,0.011393,0.1948
35,13,0.008234,0.01252,0.1152
35,14,-0.003417,0.01207,0.1497
35,15,0.024809,0.010737,0.0482
35,16,0.005161,0.012015,0.1229
35,17,0.034257,0.005964,0.013
35,18,-0.042733,0.010831,0.1977
35,19,-0.010827,0.010199,0.1647
35,20,-0.004087,0.013081,0.1561
35,21,-0.001455,0.01474,0.1548
35,22,0.008968,0.010699,0.1049
35,23,0.01511,0.008826,0.0744
35,24,-0.032741,0.011797,0.197
35,25,0.018174,0.010164,0.0702
35,26,-0.005367,0.006934,0.1489
35,27,-0.001007,0.009638,0.1419
35,28,0.019631,0.009859,0.0613
35,29,0.028552,0.010297,0.0363
35,30,-0.002001,0.007254,0.1405
35,31,-0.013964,0.013815,0.1823
35,32,0.010477,0.008971,0.0959
35,33,0.029728,0.008389,0.0258
36,0,0.008874,0.012648,0.1115
36,1,0.002645,0.011793,0.1302
36,2,-0.000411,0.01081,0.1408
36,3,0.021829,0.00879,0.0486
36,4,-0.003763,0.009902,0.1476
36,5,0.039267,0.008358,0.0114
36,6,0.038421,0.012329,0.0204
36,7,-0.011944,0.011565,0.1668
36,8,0.017283,0.010147,0.0735
36,9,0.014427,0.009158,0.0776
36,10,0.035901,0.012759,0.0306
36,11,-0.019762,0.012621,0.1863
36,12,-0.037774,0.010184,0.1978
36,13,0.032915,0.011497,0.0343
36,14,0.000913,0.011839,0.1397
36,15,0.006454,0.009491,0.1128
36,16,0.034632,0.011493,0.035
36,17,0.014482,0.006171,0.0636
